Date,USA_Index_Total,USA_Index_SMA(36),USA_Index_SMA(12),USA_Bonds_10Y2Y,interest_rates_USA,S&P500_change_stat_mean,MSCI_World_change_stat_mean,Dollar_Price_in_Yen_scaled_mean,VIX_Index_Price_Scaled,USA_Index_PCA,Japan_Index_Total,Japan_Index_SMA(36),Japan_Index_SMA(12),Nikkei_225_change_stat_mean,Japan_Index_PCA
1993-10-01,-1.0,-2.611111111111111,-1.3333333333333333,1.4590476190476191,2.99,0.2249397181227851,0.43043483631088497,5.349095238095238,0.14568468120925027,3.071028633337154,-3.0,-3.0277777777777777,-3.4166666666666665,0.33279296042159057,2.193629827119832
1993-11-01,-1.0,-2.5,-1.1666666666666667,1.5718181818181818,3.02,0.14122073966113688,0.2862030677143726,5.389340909090909,0.16987873310971424,3.037053351485892,-4.0,-3.138888888888889,-3.5,-0.11736950432594422,2.1464326525015904
1993-12-01,-1.0,-2.4166666666666665,-1.0,1.5608695652173912,2.96,0.1410098587005835,0.3593291353242507,5.494086956521739,0.13874239098422833,3.029219816827917,-3.0,-3.2222222222222223,-3.5,0.07641581892064093,2.395325969535856
1994-01-01,-2.0,-2.388888888888889,-1.0833333333333333,1.61,3.05,0.19061127698917565,0.4813722339354299,5.56597619047619,0.13839987148098146,2.7849134794973396,-2.0,-3.1944444444444446,-3.3333333333333335,0.3721918677352741,2.480007689697684
1994-02-01,-2.0,-2.3333333333333335,-1.1666666666666667,1.498,3.25,0.10520785480302837,0.406270991602635,5.3184249999999995,0.16231103663068822,3.128777723906835,-2.0,-3.1944444444444446,-3.1666666666666665,0.35949441095338797,2.5930560827082725
1994-03-01,-3.0,-2.3333333333333335,-1.3333333333333333,1.4873913043478262,3.34,-0.013271735279709151,0.22421344536523993,5.249478260869565,0.17880821964732044,2.7418562604598344,-3.0,-3.1944444444444446,-3.0833333333333335,0.10831560740692282,2.7314771781304583
1994-04-01,-2.0,-2.3055555555555554,-1.4166666666666667,1.4219047619047618,3.56,0.058637254885201585,0.19897192548798823,5.1691666666666665,0.19962682622785494,2.755419353980711,-2.0,-3.1944444444444446,-2.9166666666666665,-0.05630850216305755,2.686262518787678
1994-05-01,-2.0,-2.2777777777777777,-1.5,1.2127272727272727,4.01,0.02126178942073414,0.15351358313742763,5.188340909090909,0.1677953769547686,2.825981732562451,-2.0,-3.1666666666666665,-2.75,0.09066188550669359,2.796317440707188
1994-06-01,-2.0,-2.25,-1.5833333333333333,1.17,4.25,-0.016072744711394308,0.16883724943186132,5.119454545454546,0.15987422598457343,2.870417028120982,-3.0,-3.1944444444444446,-2.75,0.15523186327726288,2.9716008412140007
1994-07-01,-2.0,-2.2222222222222223,-1.6666666666666667,1.168095238095238,4.26,0.05530709411662002,0.1675211164583871,4.931619047619048,0.15462800845028055,2.804335805873877,-4.0,-3.25,-2.8333333333333335,0.06012426956010266,2.271368219659361
1994-08-01,-2.0,-2.1944444444444446,-1.75,1.058695652173913,4.47,0.05829556519245096,0.13404675987174974,4.993847826086956,0.14292248769337104,2.885592832502516,-4.0,-3.2777777777777777,-2.9166666666666665,0.017228718470317077,3.295221408945284
1994-09-01,-2.0,-2.1666666666666665,-1.8333333333333333,1.0640909090909092,4.73,0.026023621053926693,0.1254038161348526,4.939613636363637,0.15596587040250964,2.8658150670394145,-3.0,-3.2777777777777777,-2.9166666666666665,0.0015584180853612795,3.195669782536894
1994-10-01,-2.0,-2.138888888888889,-1.9166666666666667,1.0157142857142858,4.76,0.029661905602166416,0.10828128754912943,4.918642857142857,0.18083028929072384,2.7616332026237935,-3.0,-3.2777777777777777,-2.9166666666666665,0.08378065295953778,3.149858530082122
1994-11-01,-2.0,-2.111111111111111,-2.0,0.8036363636363636,5.29,-0.021815150910854387,0.1418033792763195,4.903840909090909,0.19366966841395364,2.9354909909653406,-2.0,-3.2777777777777777,-2.75,0.3365428122178595,2.9696980904560824
1994-12-01,-2.0,-2.0833333333333335,-2.0833333333333335,0.21818181818181817,5.45,-0.016428867503798118,0.07898531904252352,5.003636363636364,0.17076374544940545,2.8574582058280487,-4.0,-3.2777777777777777,-2.8333333333333335,0.28407717880646793,2.7855327245772865
1995-01-01,0.0,-1.9722222222222223,-1.9166666666666667,0.26636363636363636,5.53,-0.034602648359430756,-0.07286926431812514,4.9834772727272725,0.1508097001802959,2.942196104542829,-1.0,-3.2222222222222223,-2.75,-0.12647438131030692,3.161779213659217
1995-02-01,0.0,-1.8888888888888888,-1.75,0.3575,5.92,0.10218570820385087,-0.04318096622649396,4.906975,0.13794291533374473,3.000821584404473,-1.0,-3.1666666666666665,-2.6666666666666665,-0.2888819912916722,2.990562787029004
1995-03-01,0.0,-1.8055555555555556,-1.5,0.42913043478260865,5.98,0.2354829878360867,0.11986004580931242,4.520782608695652,0.14602469883575028,2.849101344616706,-1.0,-3.0833333333333335,-2.5,-0.30365427136445217,3.092572839693401
1995-04-01,0.0,-1.7222222222222223,-1.3333333333333333,0.496,6.05,0.2690975224444491,0.15578259008056197,4.176875,0.14707944947586088,2.9861154056330315,-1.0,-3.0,-2.4166666666666665,-0.2789734124490966,3.1478030174318476
1995-05-01,0.0,-1.6388888888888888,-1.1666666666666667,0.45956521739130435,6.01,0.31057995296415586,0.1699381264090313,4.247782608695652,0.14434740154752984,3.003166703325055,-1.0,-2.9444444444444446,-2.3333333333333335,-0.5474058963990115,3.17317028612277
1995-06-01,0.0,-1.5555555555555556,-1.0,0.4522727272727272,6.0,0.4017900400798447,0.1658688652789318,4.225545454545455,0.14366362568437996,3.0249411237764243,-2.0,-2.888888888888889,-2.25,-0.6326546504087415,3.181136307244256
1995-07-01,0.0,-1.4722222222222223,-0.8333333333333334,0.4942857142857142,5.85,0.40278268121701205,0.23000089061726134,4.3620238095238095,0.1494796929617046,3.2047704374055543,-3.0,-2.861111111111111,-2.1666666666666665,-0.33203662042083487,2.824263212911359
1995-08-01,0.0,-1.3888888888888888,-0.6666666666666666,0.5073913043478261,5.74,0.3350208831770301,0.13045019318856588,4.740434782608696,0.1516822864187595,2.9948098421137144,-2.0,-2.8055555555555554,-2.0,-0.19461244283913234,3.124352697749042
1995-09-01,0.0,-1.2777777777777777,-0.5,0.3923809523809524,5.8,0.4642410784297953,0.22820959543830469,5.024119047619048,0.14229853968553904,2.9873249012178262,-3.0,-2.7777777777777777,-2.0,-0.1137286651744309,3.477885372517744
1995-10-01,0.0,-1.1944444444444444,-0.3333333333333333,0.3468181818181818,5.76,0.413190675545032,0.16761540041947987,5.038409090909091,0.17107157614752685,3.1319233282121313,-1.0,-2.7222222222222223,-1.8333333333333333,-0.18217765757692575,2.9748773030101208
1995-11-01,0.0,-1.1111111111111112,-0.16666666666666666,0.45,5.8,0.5654377560638694,0.3123772965787182,5.096,0.15078221568970987,3.0246311817275924,-2.0,-2.6944444444444446,-1.8333333333333333,0.021230948751389905,2.8680290965428807
1995-12-01,0.0,-1.0277777777777777,0.0,0.38857142857142857,5.6,0.5767460476326101,0.342066449915309,5.091238095238095,0.14228702413262712,3.153789841660553,-1.0,-2.638888888888889,-1.5833333333333333,0.07394136266764767,3.0125159151648924
1996-01-01,-1.0,-1.0277777777777777,-0.08333333333333333,0.5365217391304348,5.56,0.5904424576593789,0.3824199108742307,5.27904347826087,0.16122552646338817,3.587115237373877,-4.0,-2.638888888888889,-1.8333333333333333,0.26126203833082895,2.7284692742601684
1996-02-01,-1.0,-1.0277777777777777,-0.16666666666666666,0.7823809523809524,5.22,0.5310938024224628,0.42025051755351345,5.277785714285715,0.17883776472547044,2.9225173791018797,-4.0,-2.638888888888889,-2.0833333333333335,0.37907453939894675,2.941664820982768
1996-03-01,-1.0,-1.0277777777777777,-0.25,0.6076190476190476,5.31,0.4992006771305928,0.3616720690360445,5.295238095238095,0.21058571573032084,2.919755560965317,-3.0,-2.611111111111111,-2.25,0.5973961199203212,2.8004634988309616
1996-04-01,-1.0,-1.0277777777777777,-0.3333333333333333,0.5540909090909091,5.22,0.46768410304578006,0.3148117268186696,5.361204545454545,0.1985070147708912,3.8855006558861116,-4.0,-2.611111111111111,-2.5,0.5641199337310848,2.8354486566083197
