Date,CPI_USA_Index,CPI_Japan_Index,USA_WageH_Dollar,Japan_WageH_Dollar,USA_GDP_Dollar_Capita,Japan_GDP_Dollar_Capita,Japan Debt in 100 Billion of Yen,USA Debt in 1Billion of USD,USA_%_Debt_to_GDP,Japan_%_Debt_to_GDP
1992-04-01,139.4,100.076355306694,57.07587,85.02367,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1992-05-01,139.7,100.178162382286,57.2266,85.22301999999999,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1992-06-01,140.1,100.178162382286,57.32708,87.11686999999999,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1992-07-01,140.5,99.7709340799186,57.42757,87.0172,39447.9472855283,29462.6539670948,1961.94,4064.62065552166,61.749249999999996,38.9149343503625
1992-08-01,140.8,99.8727411555103,57.5783,85.42238,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1992-09-01,141.1,100.381776533469,57.52805,85.72140999999999,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1992-10-01,141.7,100.279969457877,57.62854,86.21979,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1992-11-01,142.1,99.9745482311021,57.72902,86.12011,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1992-12-01,142.3,99.7709340799186,57.82951,86.81784,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1993-01-01,142.8,99.7709340799186,58.03048,83.12983,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1993-02-01,143.1,99.8727411555103,58.13097,86.12011,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1993-03-01,143.3,100.381776533469,58.23145,85.92076,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1993-04-01,143.8,100.890811911428,58.48267,86.51881,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1993-05-01,144.2,101.298040213795,58.58315,87.0172,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
1993-06-01,144.3,101.094426062611,58.6334,85.52206,40002.4762252856,29232.4397928178,2124.74,4411.48888313938,63.888,42.1159418336413
