DATE,LCEAMN01JPM661S
1986-02-01,69.67356
1986-03-01,69.57388
1986-04-01,69.57388
1986-05-01,69.57388
1986-06-01,69.07551
1986-07-01,69.57388
1986-08-01,69.77324
1986-09-01,69.77324
1986-10-01,69.77324
1986-11-01,69.87291
1986-12-01,69.67356
1987-01-01,70.07226999999999
1987-02-01,70.27161
1987-03-01,70.47097
1987-04-01,70.37129
1987-05-01,70.37129
1987-06-01,68.17841999999999
1987-07-01,71.06902
1987-08-01,70.77
1987-09-01,71.86643000000001
1987-10-01,72.06579
1987-11-01,71.96611
1987-12-01,71.56741
1988-01-01,72.36480999999999
1988-02-01,73.46125
1988-03-01,73.56093
1988-04-01,73.66060999999999
1988-05-01,73.46125
1988-06-01,71.1687
1988-07-01,73.76028000000001
1988-08-01,75.15575
1988-09-01,74.95639
1988-10-01,75.45477
1988-11-01,75.05606999999999
1988-12-01,75.05606999999999
1989-01-01,77.04959000000001
1989-02-01,76.55121
1989-03-01,77.24894
1989-04-01,77.54796999999999
1989-05-01,77.74732
1989-06-01,74.85670999999999
1989-07-01,78.94344
1989-08-01,79.94019
1989-09-01,78.84376
1989-10-01,78.84376
1989-11-01,79.44181
1989-12-01,80.03987
1990-01-01,81.73436
1990-02-01,79.84052
1990-03-01,80.43858
1990-04-01,80.93696
1990-05-01,81.53501
1990-06-01,82.4321
1990-07-01,82.53177
1990-08-01,81.23598
1990-09-01,82.63145
1990-10-01,83.03015
1990-11-01,83.52853
1990-12-01,84.62496999999999
1991-01-01,83.12983
1991-02-01,84.32594
1991-03-01,84.12659000000001
1991-04-01,84.32594
1991-05-01,84.62496999999999
1991-06-01,84.92399999999999
1991-07-01,84.52529
1991-08-01,86.81784
1991-09-01,84.92399999999999
1991-10-01,85.22301999999999
1991-11-01,85.3227
1991-12-01,87.4159
1992-01-01,86.61849000000001
1992-02-01,85.22301999999999
1992-03-01,85.3227
1992-04-01,85.02367
1992-05-01,85.22301999999999
1992-06-01,87.11686999999999
1992-07-01,87.0172
1992-08-01,85.42238
1992-09-01,85.72140999999999
1992-10-01,86.21979
1992-11-01,86.12011
1992-12-01,86.81784
1993-01-01,83.12983
1993-02-01,86.12011
1993-03-01,85.92076
1993-04-01,86.51881
1993-05-01,87.0172
1993-06-01,85.52206
1993-07-01,86.91752
1993-08-01,87.61525
1993-09-01,86.71816
1993-10-01,86.51881
1993-11-01,87.31622
1993-12-01,86.51881
1994-01-01,86.51881
1994-02-01,87.31622
1994-03-01,87.71493000000001
1994-04-01,88.01395
1994-05-01,87.91428
1994-06-01,92.69873
1994-07-01,83.12983
1994-08-01,86.91752
1994-09-01,89.50909
1994-10-01,89.70845
1994-11-01,90.50586
1994-12-01,88.41266
1995-01-01,90.10715
1995-02-01,90.3065
1995-03-01,90.50586
1995-04-01,90.90456
1995-05-01,90.90456
1995-06-01,92.99776
1995-07-01,89.30975
1995-08-01,87.31622
1995-09-01,91.30326
1995-10-01,91.50262
1995-11-01,91.30326
1995-12-01,92.89808000000001
1996-01-01,89.40942
1996-02-01,92.49937
1996-03-01,92.79841
1996-04-01,92.69873
1996-05-01,92.79841
1996-06-01,93.39646
1996-07-01,93.29678
1996-08-01,94.09419
1996-09-01,93.79517
1996-10-01,93.79517
1996-11-01,93.49614
1996-12-01,94.8916
1997-01-01,97.48318
1997-02-01,94.8916
1997-03-01,94.79191999999999
1997-04-01,94.99128
1997-05-01,95.19063
1997-06-01,95.88835999999999
1997-07-01,96.9848
1997-08-01,96.68576999999999
1997-09-01,94.79191999999999
1997-10-01,94.79191999999999
1997-11-01,94.99128
1997-12-01,97.08447
1998-01-01,96.48642
1998-02-01,94.69225
1998-03-01,94.39322
1998-04-01,94.29355
1998-05-01,94.79191999999999
1998-06-01,95.78869
1998-07-01,95.29030999999999
1998-08-01,93.99450999999999
1998-09-01,94.39322
1998-10-01,94.79191999999999
1998-11-01,96.18739000000001
1998-12-01,93.99450999999999
1999-01-01,93.89484
1999-02-01,94.59258
1999-03-01,94.79191999999999
1999-04-01,94.79191999999999
1999-05-01,94.59258
1999-06-01,91.80164
1999-07-01,93.29678
1999-08-01,94.39322
1999-09-01,95.38998000000001
1999-10-01,95.38998000000001
1999-11-01,95.98804
1999-12-01,93.09743
2000-01-01,96.5861
2000-02-01,95.78869
2000-03-01,96.28706
2000-04-01,96.38674
2000-05-01,96.28706
2000-06-01,94.59258
2000-07-01,95.29030999999999
2000-08-01,96.9848
2000-09-01,96.28706
2000-10-01,96.28706
2000-11-01,95.58933
2000-12-01,96.08771999999999
2001-01-01,96.68576999999999
2001-02-01,96.38674
2001-03-01,96.08771999999999
2001-04-01,95.98804
2001-05-01,95.78869
2001-06-01,96.28706
2001-07-01,96.68576999999999
2001-08-01,96.5861
2001-09-01,95.38998000000001
2001-10-01,95.38998000000001
2001-11-01,95.48966
2001-12-01,94.69225
2002-01-01,94.99128
2002-02-01,95.29030999999999
2002-03-01,94.69225
2002-04-01,95.98804
2002-05-01,95.09096
2002-06-01,93.59581
2002-07-01,92.59905
2002-08-01,94.79191999999999
2002-09-01,96.48642
2002-10-01,96.28706
2002-11-01,95.68901
2002-12-01,93.89484
2003-01-01,96.5861
2003-02-01,96.68576999999999
2003-03-01,96.68576999999999
2003-04-01,97.48318
2003-05-01,97.08447
2003-06-01,97.38351
2003-07-01,96.28706
2003-08-01,96.38674
2003-09-01,97.68253
2003-10-01,98.57961
2003-11-01,95.58933
2003-12-01,97.28383000000001
2004-01-01,98.47994
2004-02-01,98.97832
2004-03-01,98.87865
2004-04-01,98.38025999999999
2004-05-01,99.27735
2004-06-01,99.17766999999999
2004-07-01,98.18092
2004-08-01,100.3738
2004-09-01,99.27735
2004-10-01,98.77897
2004-11-01,98.47994
2004-12-01,98.38025999999999
2005-01-01,99.17766999999999
2005-02-01,98.97832
2005-03-01,99.97508
2005-04-01,98.97832
2005-05-01,99.37702
2005-06-01,99.4767
2005-07-01,100.8722
2005-08-01,98.18092
2005-09-01,99.07799999999999
2005-10-01,99.07799999999999
2005-11-01,100.8722
2005-12-01,99.67605999999999
2006-01-01,99.27735
2006-02-01,99.97508
2006-03-01,99.8754
2006-04-01,100.7725
2006-05-01,99.8754
2006-06-01,101.7692
2006-07-01,101.9686
2006-08-01,99.57638
2006-09-01,99.97508
2006-10-01,99.97508
2006-11-01,100.8722
2006-12-01,102.2676
2007-01-01,99.17766999999999
2007-02-01,99.8754
2007-03-01,99.57638
2007-04-01,100.0748
2007-05-01,100.3738
2007-06-01,103.4637
2007-07-01,98.67929000000001
2007-08-01,99.8754
2007-09-01,99.77573000000001
2007-10-01,100.1744
2007-11-01,100.4735
2007-12-01,101.9686
2008-01-01,101.3705
2008-02-01,101.0715
2008-03-01,100.9718
2008-04-01,100.3738
2008-05-01,100.3738
2008-06-01,104.3608
2008-07-01,101.2709
2008-08-01,99.4767
2008-09-01,98.87865
2008-10-01,99.07799999999999
2008-11-01,99.17766999999999
2008-12-01,99.67605999999999
2009-01-01,94.8916
2009-02-01,93.99450999999999
2009-03-01,93.69549
2009-04-01,93.89484
2009-05-01,93.99450999999999
2009-06-01,87.61525
2009-07-01,92.30003
2009-08-01,94.8916
2009-09-01,95.58933
2009-10-01,95.78869
2009-11-01,94.69225
2009-12-01,90.80489
2010-01-01,96.88512
2010-02-01,97.38351
2010-03-01,97.58286
2010-04-01,98.67929000000001
2010-05-01,98.18092
2010-06-01,93.09743
2010-07-01,96.78545
2010-08-01,98.47994
2010-09-01,98.77897
2010-10-01,98.18092
2010-11-01,98.67929000000001
2010-12-01,94.8916
2011-01-01,99.57638
2011-02-01,98.67929000000001
2011-03-01,99.17766999999999
2011-04-01,98.08124000000001
2011-05-01,97.78220999999999
2011-06-01,97.88188000000001
2011-07-01,99.57638
2011-08-01,97.98156
2011-09-01,99.37702
2011-10-01,99.67605999999999
2011-11-01,100.4735
2011-12-01,99.27735
2012-01-01,98.67929000000001
2012-02-01,100.1744
2012-03-01,100.0748
2012-04-01,99.4767
2012-05-01,99.57638
2012-06-01,98.97832
2012-07-01,95.68901
2012-08-01,99.17766999999999
2012-09-01,97.98156
