Date,CPI_USA_Index,CPI_Japan_Index,USA_WageH_Dollar,Japan_WageH_Dollar,USA_GDP_Dollar_Capita,Japan_GDP_Dollar_Capita
2000-02-01,170.0,102.112496818529,71.04337,95.78869,48616.25462578,31430.6311303282
2000-03-01,171.0,102.316110969712,71.19411,96.28706,48616.25462578,31430.6311303282
2000-04-01,170.9,102.621532196488,71.49556,96.38674,48616.25462578,31430.6311303282
2000-05-01,171.2,102.519725120896,71.44532,96.28706,48616.25462578,31430.6311303282
2000-06-01,172.2,102.112496818529,71.84725999999999,94.59258,48616.25462578,31430.6311303282
2000-07-01,172.7,101.908882667345,71.99799,95.29031,48616.25462578,31430.6311303282
2000-08-01,172.7,102.112496818529,72.14872,96.9848,48597.4246142005,31476.052066579
2000-09-01,173.6,102.112496818529,72.34969,96.28706,48597.4246142005,31476.052066579
2000-10-01,173.9,101.908882667345,72.75163,96.28706,48597.4246142005,31476.052066579
2000-11-01,174.2,101.60346144057,72.95260999999999,95.58933,48597.4246142005,31476.052066579
2000-12-01,174.6,101.705268516162,72.85212,96.08772,48597.4246142005,31476.052066579
2001-01-01,175.6,101.60346144057,72.75163,96.68577,48597.4246142005,31476.052066579
2001-02-01,176.0,101.196233138203,73.10333,96.38674,48597.4246142005,31476.052066579
2001-03-01,176.1,100.99261898702,73.25406,96.08772,48597.4246142005,31476.052066579
2001-04-01,176.4,101.298040213795,73.50527,95.98804,48597.4246142005,31476.052066579
2001-05-01,177.3,101.399847289387,73.80673,95.78869,48597.4246142005,31476.052066579
2001-06-01,177.7,100.99261898702,74.05795,96.28706,48597.4246142005,31476.052066579
2001-07-01,177.4,100.789004835836,74.45989,96.68577,48597.4246142005,31476.052066579
2001-08-01,177.4,101.094426062611,74.61062,96.5861,48967.3661201159,31416.1241772435
2001-09-01,178.1,100.890811911428,74.81159,95.38998,48967.3661201159,31416.1241772435
2001-10-01,177.6,100.789004835836,74.81159,95.38998,48967.3661201159,31416.1241772435
2001-11-01,177.5,100.279969457877,75.16329,95.48966,48967.3661201159,31416.1241772435
