DATE,USAHOUREAMISMEI
1986-01-01,47.88143
1986-02-01,48.03215
1986-03-01,48.13264
1986-04-01,48.03215
1986-05-01,48.18288
1986-06-01,48.13264
1986-07-01,48.233129999999996
1986-08-01,48.28337
1986-09-01,48.233129999999996
1986-10-01,48.33361
1986-11-01,48.4341
1986-12-01,48.53458
1987-01-01,48.58483
1987-02-01,48.68531
1987-03-01,48.7858
1987-04-01,48.7858
1987-05-01,48.88628
1987-06-01,48.93653
1987-07-01,48.93653
1987-08-01,49.23798
1987-09-01,49.4892
1987-10-01,49.43895
1987-11-01,49.58968
1987-12-01,49.69017
1988-01-01,49.79065
1988-02-01,49.8409
1988-03-01,49.94138
1988-04-01,50.1926
1988-05-01,50.34333
1988-06-01,50.44381
1988-07-01,50.49405
1988-08-01,50.59454
1988-09-01,50.84575
1988-10-01,51.04673
1988-11-01,51.19745
1988-12-01,51.2477
1989-01-01,51.39843
1989-02-01,51.54915
1989-03-01,51.69988
1989-04-01,51.649640000000005
1989-05-01,51.75013
1989-06-01,51.900859999999994
1989-07-01,52.05158
1989-08-01,52.20231
1989-09-01,52.3028
1989-10-01,52.40328
1989-11-01,52.45353000000001
1989-12-01,52.70474
1990-01-01,52.85547
1990-02-01,53.458380000000005
1990-03-01,53.759840000000004
1990-04-01,53.65936
1990-05-01,53.960809999999995
1990-06-01,54.16178000000001
1990-07-01,54.262269999999994
1990-08-01,54.312509999999996
1990-09-01,54.563719999999996
1990-10-01,54.86518
1990-11-01,54.71445
1990-12-01,54.91542
1991-01-01,55.16664
1991-02-01,55.11639
1991-03-01,55.26712
1991-04-01,55.51834
1991-05-01,55.71931
1991-06-01,55.920280000000005
1991-07-01,56.12125
1991-08-01,56.1715
1991-09-01,56.37246999999999
1991-10-01,56.5232
1991-11-01,56.573440000000005
1991-12-01,56.62368000000001
1992-01-01,56.47295
1992-02-01,56.774409999999996
1992-03-01,56.8749
1992-04-01,57.075869999999995
1992-05-01,57.2266
1992-06-01,57.32708
1992-07-01,57.427569999999996
1992-08-01,57.5783
1992-09-01,57.52805
1992-10-01,57.62854
1992-11-01,57.72902
1992-12-01,57.82951
1993-01-01,58.030480000000004
1993-02-01,58.13097
1993-03-01,58.23145
1993-04-01,58.48267
1993-05-01,58.58315
1993-06-01,58.6334
1993-07-01,58.733880000000006
1993-08-01,58.884609999999995
1993-09-01,59.08558000000001
1993-10-01,59.236309999999996
1993-11-01,59.43728
1993-12-01,59.6885
1994-01-01,59.73874
1994-02-01,60.14068
1994-03-01,60.0402
1994-04-01,60.09044
1994-05-01,60.19092
1994-06-01,60.34165
1994-07-01,60.3919
1994-08-01,60.54261999999999
1994-09-01,60.7436
1994-10-01,60.844080000000005
1994-11-01,61.04505
1994-12-01,61.145540000000004
1995-01-01,61.29626
1995-02-01,61.497240000000005
1995-03-01,61.497240000000005
1995-04-01,61.54748000000001
1995-05-01,61.698209999999996
1995-06-01,61.84894
1995-07-01,62.25088
1995-08-01,62.30112
1995-09-01,62.35136
1995-10-01,62.50209
1995-11-01,62.55234
1995-12-01,62.75331
1996-01-01,63.305980000000005
1996-02-01,63.10501
1996-03-01,62.80355
1996-04-01,63.75816
1996-05-01,63.85865
1996-06-01,64.10986
1996-07-01,64.31084
1996-08-01,64.41131999999999
1996-09-01,64.56205
1996-10-01,64.46155999999999
1996-11-01,64.71278000000001
1996-12-01,65.06448
1997-01-01,65.26545
1997-02-01,65.26545
1997-03-01,65.51666
1997-04-01,65.46642
1997-05-01,65.66739
1997-06-01,65.76788
1997-07-01,65.81812
1997-08-01,66.16982
1997-09-01,66.22006
1997-10-01,66.77274
1997-11-01,66.97371
1997-12-01,67.07419
1998-01-01,67.02395
1998-02-01,67.27516
1998-03-01,67.47614
1998-04-01,67.32540999999999
1998-05-01,67.57661999999999
1998-06-01,67.47614
1998-07-01,67.02395
1998-08-01,67.62686
1998-09-01,67.92832
1998-10-01,67.92832
1998-11-01,68.02881
1998-12-01,68.1293
1999-01-01,68.28002
1999-02-01,68.48100000000001
1999-03-01,68.78245
1999-04-01,68.98342
1999-05-01,69.33511999999999
1999-06-01,69.63656999999999
1999-07-01,69.88779
1999-08-01,70.03851999999999
1999-09-01,70.28973
1999-10-01,70.28973
1999-11-01,70.39022
1999-12-01,70.64143
