"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/1985","260.65","260.65","260.65","260.65","","0.43%"
"02/06/1985","259.53","259.53","259.53","259.53","","-0.07%"
"02/05/1985","259.70","259.70","259.70","259.70","","0.11%"
"02/04/1985","259.42","259.42","259.42","259.42","","1.04%"
"02/01/1985","256.75","256.75","256.75","256.75","","0.77%"
"01/31/1985","254.80","254.80","254.80","254.80","","0.12%"
"01/30/1985","254.50","254.50","254.50","254.50","","0.06%"
"01/29/1985","254.35","254.35","254.35","254.35","","0.07%"
"01/28/1985","254.18","254.18","254.18","254.18","","0.09%"
"01/25/1985","253.95","253.95","253.95","253.95","","0.10%"
"01/24/1985","253.70","253.70","253.70","253.70","","-0.28%"
"01/23/1985","254.40","254.40","254.40","254.40","","0.16%"
"01/22/1985","254.00","254.00","254.00","254.00","","-0.23%"
"01/18/1985","254.58","254.58","254.58","254.58","","0.01%"
"01/17/1985","254.55","254.55","254.55","254.55","","-0.16%"
"01/16/1985","254.95","254.95","254.95","254.95","","0.10%"
"01/15/1985","254.70","254.70","254.70","254.70","","-0.27%"
"01/14/1985","255.40","255.40","255.40","255.40","","0.62%"
"01/11/1985","253.83","253.83","253.83","253.83","","0.05%"
"01/10/1985","253.70","253.70","253.70","253.70","","-0.55%"
"01/09/1985","255.10","255.10","255.10","255.10","","0.53%"
"01/08/1985","253.75","253.75","253.75","253.75","","-0.86%"
"01/07/1985","255.95","255.95","255.95","255.95","","1.09%"
"01/04/1985","253.20","253.20","253.20","253.20","","0.30%"
"01/03/1985","252.45","252.45","252.45","252.45","","0.26%"
"01/02/1985","251.80","251.80","251.80","251.80","","0.08%"
"12/31/1984","251.60","251.60","251.60","251.60","","0.46%"
"12/28/1984","250.45","250.45","250.45","250.45","","0.10%"
"12/27/1984","250.20","250.20","250.20","250.20","","0.46%"
"12/26/1984","249.05","249.05","249.05","249.05","","0.38%"
"12/24/1984","248.10","248.10","248.10","248.10","","0.06%"
"12/21/1984","247.95","247.95","247.95","247.95","","-0.06%"
"12/20/1984","248.10","248.10","248.10","248.10","","0.14%"
"12/19/1984","247.76","247.76","247.76","247.76","","0.41%"
"12/18/1984","246.75","246.75","246.75","246.75","","-0.32%"
"12/17/1984","247.55","247.55","247.55","247.55","","-0.08%"
"12/14/1984","247.75","247.75","247.75","247.75","","0.08%"
"12/13/1984","247.55","247.55","247.55","247.55","","0.12%"
"12/12/1984","247.25","247.25","247.25","247.25","","0.10%"
"12/11/1984","247.00","247.00","247.00","247.00","","0.07%"
"12/10/1984","246.82","246.82","246.82","246.82","","-0.23%"
"12/07/1984","247.40","247.40","247.40","247.40","","0.34%"
"12/06/1984","246.55","246.55","246.55","246.55","","-0.10%"
"12/05/1984","246.80","246.80","246.80","246.80","","0.14%"
"12/04/1984","246.45","246.45","246.45","246.45","","-0.71%"
"12/03/1984","248.20","248.20","248.20","248.20","","0.28%"
"11/30/1984","247.50","247.50","247.50","247.50","","0.69%"
"11/29/1984","245.80","245.80","245.80","245.80","","0.14%"
"11/28/1984","245.45","245.45","245.45","245.45","","0.02%"
"11/27/1984","245.40","245.40","245.40","245.40","","-0.30%"
"11/26/1984","246.15","246.15","246.15","246.15","","0.31%"
"11/23/1984","245.40","245.40","245.40","245.40","","-0.05%"
"11/21/1984","245.53","245.53","245.53","245.53","","0.30%"
"11/20/1984","244.80","244.80","244.80","244.80","","0.47%"
"11/19/1984","243.65","243.65","243.65","243.65","","0.35%"
"11/16/1984","242.80","242.80","242.80","242.80","","0.12%"
"11/15/1984","242.50","242.50","242.50","242.50","","0.02%"
"11/14/1984","242.45","242.45","242.45","242.45","","0.83%"
"11/13/1984","240.45","240.45","240.45","240.45","","0.08%"
"11/12/1984","240.25","240.25","240.25","240.25","","-0.31%"
"11/09/1984","241.00","241.00","241.00","241.00","","0.02%"
"11/08/1984","240.95","240.95","240.95","240.95","","0.06%"
"11/07/1984","240.80","240.80","240.80","240.80","","-0.52%"
"11/05/1984","242.05","242.05","242.05","242.05","","0.02%"
"11/02/1984","242.00","242.00","242.00","242.00","","-0.94%"
"11/01/1984","244.30","244.30","244.30","244.30","","-0.57%"
"10/31/1984","245.70","245.70","245.70","245.70","","0.04%"
"10/30/1984","245.60","245.60","245.60","245.60","","-0.43%"
"10/29/1984","246.65","246.65","246.65","246.65","","0.47%"
"10/26/1984","245.50","245.50","245.50","245.50","","0.59%"
"10/25/1984","244.05","244.05","244.05","244.05","","-0.03%"
"10/24/1984","244.12","244.12","244.12","244.12","","-0.20%"
"10/23/1984","244.60","244.60","244.60","244.60","","-1.09%"
"10/22/1984","247.30","247.30","247.30","247.30","","0.02%"
