observation_date,IRSTCI01JPM156N
1999-02-01,0.1763200000000000045
1999-03-01,0.0409100000000000019
1999-04-01,0.0314299999999999996
1999-05-01,0.0299999999999999989
1999-06-01,0.0299999999999999989
1999-07-01,0.0299999999999999989
1999-08-01,0.0299999999999999989
1999-09-01,0.0325000000000000011
1999-10-01,0.0245000000000000009
1999-11-01,0.0275000000000000001
1999-12-01,0.0242899999999999991
2000-01-01,0.0205299999999999996
2000-02-01,0.0345000000000000029
2000-03-01,0.0213600000000000005
2000-04-01,0.0200000000000000004
2000-05-01,0.0210000000000000013
2000-06-01,0.0209099999999999009
2000-07-01,0.0210000000000000013
2000-08-01,0.1552199999999999969
2000-09-01,0.2494999999999999996
2000-10-01,0.2476199999999998957
2000-11-01,0.2474999999999999978
2000-12-01,0.2414300000000000057
2001-01-01,0.2489500000000000046
2001-02-01,0.2484199999999998909
2001-03-01,0.1066700000000000009
2001-04-01,0.0200000000000000004
2001-05-01,0.0185699999999999997
2001-06-01,0.0176200000000000002
2001-07-01,0.0128599999999999999
2001-08-01,0.0100000000000000002
2001-09-01,0.0050499999999999998
2001-10-01,0.0031400000000000000
2001-11-01,0.0024299999999999999
2001-12-01,0.0018399999999999001
2002-01-01,0.0011099999999998999
2002-02-01,0.0010000000000000000
2002-03-01,0.0020500000000000002
2002-04-01,0.0014800000000000000
2002-05-01,0.0013799999999999999
2002-06-01,0.0014000000000000000
2002-07-01,0.0017799999999999999
2002-08-01,0.0018600000000000001
2002-09-01,0.0052599999999999999
2002-10-01,0.0019100000000000000
2002-11-01,0.0019499999999999999
2002-12-01,0.0019499999999999999
2003-01-01,0.0020000000000000000
2003-02-01,0.0010000000000000000
2003-03-01,0.0020000000000000000
2003-04-01,0.0010000000000000000
2003-05-01,0.0010000000000000000
2003-06-01,0.0010000000000000000
2003-07-01,0.0020000000000000000
2003-08-01,0.0010000000000000000
2003-09-01,0.0020000000000000000
2003-10-01,0.0010000000000000000
2003-11-01,0.0010000000000000000
2003-12-01,0.0010000000000000000
2004-01-01,0.0000000000000000000
2004-02-01,0.0010000000000000000
2004-03-01,0.0010000000000000000
2004-04-01,0.0000000000000000000
2004-05-01,0.0010000000000000000
2004-06-01,0.0010000000000000000
